date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:16	94/94	---M-Z	200	added ('OK')	text/plain	etag:%222d842e4b71f5de71de838937f952d233%22	https://solanadrain.framer.ai/robots.txt		(from )
14:45:17	241784/241784	---M-Z	200	added ('OK')	text/html	etag:%22c46015aae0128720e78cb8344a27a351%22	https://solanadrain.framer.ai/	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/index.html	(from )
14:45:17	3761/3761	---MC-	200	added ('OK')	image/png	etag:%222267b0607ba373111f54c6487e5c412d%22	https://framerusercontent.com/images/wwGXs1CU7kApb4YYPNBKwNVz7M.png	/Users/samh/downloads/SOLANA/framerusercontent.com/images/wwGXs1CU7kApb4YYPNBKwNVz7M.png	(from https://solanadrain.framer.ai/)
14:45:19	571118/571118	---MCZ	200	added ('OK')	text/javascript	etag:W/%2227385478d167594f074106e4170cee77%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-QRWB4DR5.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-QRWB4DR5.mjs	(from https://solanadrain.framer.ai/)
14:45:19	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:19%20GMT	https://fonts.gstatic.com/	/Users/samh/downloads/SOLANA/fonts.gstatic.com/index.html	(from https://solanadrain.framer.ai/)
14:45:19	447/447	---M--	200	added ('OK')	text/javascript	etag:%22bac0d5b5f6a61029b51079932ccda746%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-ELYU6EKT.mjs	(from https://solanadrain.framer.ai/)
14:45:21	92965/92965	---MCZ	200	added ('OK')	text/javascript	etag:W/%227be7140d7945a4d3415a8ee756b03a63%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/u-le50pJvjNlBDunhB2Zvj7g8KZjN2BNwZaJEKHoZuU.63BTU57O.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/u-le50pJvjNlBDunhB2Zvj7g8KZjN2BNwZaJEKHoZuU.63BTU57O.mjs	(from https://solanadrain.framer.ai/)
14:45:21	875/875	---M--	200	added ('OK')	text/javascript	etag:%229f42d87051c45e279a8b1aaf398d7bc0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-67ZKG3B6.mjs	(from https://solanadrain.framer.ai/)
14:45:22	87110/87110	---MCZ	200	added ('OK')	text/javascript	etag:W/%22dd088a2507b66176bffdbd0d80aa7e6c%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-X2O4NBP4.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-X2O4NBP4.mjs	(from https://solanadrain.framer.ai/)
14:45:23	44/44	---M--	200	added ('OK')	text/javascript	etag:%22f5fe0cab78140e0e5aa29f68ce8c2888%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-42U43NKG.mjs	(from https://solanadrain.framer.ai/)
14:45:24	246125/246125	---M-Z	200	added ('OK')	text/html	etag:%225ac26104dfab5b1ab379b5b1024a4e2b%22	https://solanadrain.framer.ai/Create-Account	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/Create-Account.html	(from https://solanadrain.framer.ai/)
14:45:25	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:25%20GMT	https://fonts.gstatic.com/robots.txt		(from https://solanadrain.framer.ai/)
14:45:26	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:25%20GMT	https://solanadrain.framer.ai/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20204%20318%22%3E%3Cg%3E%3Cdefs%3E%3ClinearGradient%20id%3D%22idss1179179093_1g-849571580%22%20x1%3D%220.49751243781094523%22%20x2%3D%220.5024875621890548%22%20y1%3D%220%22%20y2%3D%221%22%3E%3Cstop%20offset%3D%220%22%20stop-color%3D%22rgb(255%2C0%2C204	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20204%20318___g__defs__linearGradient%20id=_idss1179179093_1g-84957	(from https://solanadrain.framer.ai/)
14:45:26	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:25%20GMT	https://solanadrain.framer.ai/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20285%20444%22%3E%3Cg%3E%3Cdefs%3E%3ClinearGradient%20id%3D%22idss1203438977_1g-849571580%22%20x1%3D%220.49751243781094523%22%20x2%3D%220.5024875621890548%22%20y1%3D%220%22%20y2%3D%221%22%3E%3Cstop%20offset%3D%220%22%20stop-color%3D%22rgb(255%2C0%2C204	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20285%20444___g__defs__linearGradient%20id=_idss1203438977_1g-84957	(from https://solanadrain.framer.ai/)
14:45:26	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:25%20GMT	https://solanadrain.framer.ai/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%20149%20232%22%3E%3Cg%3E%3Cdefs%3E%3ClinearGradient%20id%3D%22idss2984441779_1g-849571580%22%20x1%3D%220.49751243781094523%22%20x2%3D%220.5024875621890548%22%20y1%3D%220%22%20y2%3D%221%22%3E%3Cstop%20offset%3D%220%22%20stop-color%3D%22rgb(255%2C0%2C204	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%20149%20232___g__defs__linearGradient%20id=_idss2984441779_1g-84957	(from https://solanadrain.framer.ai/)
14:45:27	146/146	---M--	403	error ('Forbidden')	text/xml	date:Sat,%2015%20Jun%202024%2012:45:26%20GMT	https://framerusercontent.com/robots.txt		(from https://solanadrain.framer.ai/)
14:45:27	113110/113110	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f82f4424adb2945a09b1e11fe4e26936%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/LPpTrBY_3B-DoSsaKHT5Ov6YL3TCejDBuWB6EYYgpXI.5T446MUL.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/LPpTrBY_3B-DoSsaKHT5Ov6YL3TCejDBuWB6EYYgpXI.5T446MUL.mjs	(from https://solanadrain.framer.ai/Create-Account)
14:45:28	936/936	---M--	200	added ('OK')	text/javascript	etag:%225c35d0d46145a59b0ed59239d86ed2d0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-XVBOG7LO.mjs	(from https://solanadrain.framer.ai/Create-Account)
14:45:30	238062/238062	---M-Z	200	added ('OK')	text/html	etag:%22563cfa6b317430c03ad5461e405b3c91%22	https://solanadrain.framer.ai/Verify-Account	/Users/samh/downloads/SOLANA/solanadrain.framer.ai/Verify-Account.html	(from https://solanadrain.framer.ai/Create-Account)
14:45:30	92211/92211	---MCZ	200	added ('OK')	text/javascript	etag:W/%2219bdaf4859d2dbcc4d2b48cfcfaa50f5%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/gWcg819lgHg4Hcn0eS63TaXvfRpYdPZk1cTOUNJFhr8.CT6NXNTF.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/gWcg819lgHg4Hcn0eS63TaXvfRpYdPZk1cTOUNJFhr8.CT6NXNTF.mjs	(from https://solanadrain.framer.ai/Verify-Account)
14:45:31	871/871	---M--	200	added ('OK')	text/javascript	etag:%225bcdb2fe90cfe593f8b38377076c8ac0%22	https://framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	/Users/samh/downloads/SOLANA/framerusercontent.com/sites/2t68ZA9iio9hjgHq1mrDA5/chunk-OMYAIODR.mjs	(from https://solanadrain.framer.ai/Verify-Account)
14:45:32	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2012:45:32%20GMT	https://fonts.gstatic.com/robots.txt		(from https://solanadrain.framer.ai/)
